name,group,status,created_at,description,evidence
SDK Data Collection,US 04 Cluster,operational,2017-10-03,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,EU 01 Cluster,operational,2017-10-03,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 06 Cluster,operational,2018-12-05,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 08 Cluster,operational,2019-11-05,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 05 Cluster,operational,2021-04-30,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
Braze Support Services,Global Services,operational,2021-05-11,Global Service Desk,company-own (operational)
SDK Data Collection,EU 02 Cluster,operational,2022-05-26,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 07 Cluster,operational,2023-10-24,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
Global Messaging Channels,,operational,2024-07-03,"3rd party, or last-mile service providers that are utilized across clusters and services.",company-own (operational)
SMS,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting SMS messaging,company-own (operational)
SDK Data Collection,AU 01 Cluster,operational,2025-01-23,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 10 Cluster,operational,2025-05-27,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,ID 01 Cluster,operational,2025-05-27,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,JP 01 Cluster,operational,2026-02-27,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,KR 01 Cluster,operational,2026-06-09,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
Data Processing,US 01 Cluster,operational,2014-03-07,Processing new events such as session opens or event data,company-own (operational)
US 01 Cluster,,operational,2017-10-03,"US cluster with dashboard available at https://dashboard.braze.com or https://dashboard-01.braze.com, and REST endpoints at https://api.braze.com or https://rest.iad-01.braze.com",company-own (operational)
Data Processing,US 02 Cluster,operational,2017-10-03,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 03 Cluster,operational,2017-10-03,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 04 Cluster,operational,2017-10-03,Processing new events such as session opens or event data,company-own (operational)
Data Processing,EU 01 Cluster,operational,2017-10-03,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 06 Cluster,operational,2018-12-05,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 08 Cluster,operational,2019-11-05,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 05 Cluster,operational,2021-04-30,Processing new events such as session opens or event data,company-own (operational)
Data Processing,EU 02 Cluster,operational,2022-05-26,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 07 Cluster,operational,2023-10-24,Processing new events such as session opens or event data,company-own (operational)
In-App Messaging,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting In-App Messaging,company-own (operational)
Braze Learning,Global Services,operational,2024-07-30,The portal for accessing the Braze Learning resources,company-own (operational)
Data Processing,AU 01 Cluster,operational,2025-01-23,Processing new events such as session opens or event data,company-own (operational)
Data Processing,US 10 Cluster,operational,2025-05-27,Processing new events such as session opens or event data,company-own (operational)
Data Processing,ID 01 Cluster,operational,2025-05-27,Processing new events such as session opens or event data,company-own (operational)
Data Processing,JP 01 Cluster,operational,2026-02-27,Processing new events such as session opens or event data,company-own (operational)
Data Processing,KR 01 Cluster,operational,2026-06-09,Processing new events such as session opens or event data,company-own (operational)
REST APIs,US 01 Cluster,operational,2014-05-29,REST APIs for user data and messaging,company-own (operational)
US 02 Cluster,,operational,2017-10-03,US cluster available at https://dashboard-02.braze.com and https://rest.iad-02.braze.com,company-own (operational)
REST APIs,US 02 Cluster,operational,2017-10-03,REST APIs for user data and messaging,company-own (operational)
REST APIs,US 03 Cluster,operational,2017-10-03,REST APIs for user data and messaging,company-own (operational)
REST APIs,EU 01 Cluster,operational,2017-10-03,REST APIs for user data and messaging,company-own (operational)
REST APIs,US 06 Cluster,operational,2018-12-05,REST APIs for user data and messaging,company-own (operational)
REST APIs,US 08 Cluster,operational,2019-11-05,REST APIs for user data and messaging,company-own (operational)
REST APIs,US 05 Cluster,operational,2021-04-30,REST APIs for user data and messaging,company-own (operational)
REST APIs,EU 02 Cluster,operational,2022-05-26,REST APIs for user data and messaging,company-own (operational)
REST APIs,US 07 Cluster,operational,2023-10-24,REST APIs for user data and messaging,company-own (operational)
WhatsApp,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting WhatsApp messaging,company-own (operational)
REST APIs,AU 01 Cluster,operational,2025-01-23,REST APIs for user data and messaging,company-own (operational)
REST APIs,US 10 Cluster,operational,2025-05-27,REST APIs for user data and messaging,company-own (operational)
REST APIs,ID 01 Cluster,operational,2025-05-27,REST APIs for user data and messaging,company-own (operational)
REST APIs,JP 01 Cluster,operational,2026-02-27,REST APIs for user data and messaging,company-own (operational)
REST APIs,KR 01 Cluster,operational,2026-06-09,REST APIs for user data and messaging,company-own (operational)
Outbound Messaging,US 01 Cluster,operational,2014-03-07,"Push notification, email, in-app message and other channel delivery",company-own (operational)
US 03 Cluster,,operational,2017-10-03,US cluster available at https://dashboard-03.braze.com and https://rest.iad-03.braze.com,company-own (operational)
Outbound Messaging,US 02 Cluster,operational,2017-10-03,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,US 03 Cluster,operational,2017-10-03,"Push notification, email, in-app message and other channel delivery",company-own (operational)
REST APIs,US 04 Cluster,operational,2017-10-03,REST APIs for user data and messaging,company-own (operational)
Outbound Messaging,EU 01 Cluster,operational,2017-10-03,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,US 06 Cluster,operational,2018-12-05,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,US 08 Cluster,operational,2019-11-05,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,US 05 Cluster,operational,2021-04-30,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,EU 02 Cluster,operational,2022-05-26,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,US 07 Cluster,operational,2023-10-24,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Push Notifications - iOS,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting Push Notifications - iOS,company-own (operational)
Outbound Messaging,AU 01 Cluster,operational,2025-01-23,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,US 10 Cluster,operational,2025-05-27,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,ID 01 Cluster,operational,2025-05-27,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,JP 01 Cluster,operational,2026-02-27,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Outbound Messaging,KR 01 Cluster,operational,2026-06-09,"Push notification, email, in-app message and other channel delivery",company-own (operational)
US 04 Cluster,,operational,2017-10-03,US cluster available at https://dashboard-04.braze.com and https://rest.iad-04.braze.com,company-own (operational)
Outbound Messaging,US 04 Cluster,operational,2017-10-03,"Push notification, email, in-app message and other channel delivery",company-own (operational)
Currents,US 01 Cluster,operational,2018-05-03,Data export to partner integrations,company-own (operational)
Currents,US 02 Cluster,operational,2018-05-03,Data export to partner integrations,company-own (operational)
Currents,US 03 Cluster,operational,2018-05-03,Data export to partner integrations,company-own (operational)
Currents,EU 01 Cluster,operational,2018-05-03,Data export to partner integrations,company-own (operational)
Currents,US 06 Cluster,operational,2018-12-05,Data export to partner integrations,company-own (operational)
Currents,US 08 Cluster,operational,2019-11-05,Data export to partner integrations,company-own (operational)
Currents,US 05 Cluster,operational,2021-04-30,Data export to partner integrations,company-own (operational)
Currents,EU 02 Cluster,operational,2022-05-26,Data export to partner integrations,company-own (operational)
Currents,US 07 Cluster,operational,2023-10-24,Data export to partner integrations,company-own (operational)
Push Notifications - Android,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting Push Notifications - Android,company-own (operational)
Currents,AU 01 Cluster,operational,2025-01-23,Data export to partner integrations,company-own (operational)
Currents,US 10 Cluster,operational,2025-05-27,Data export to partner integrations,company-own (operational)
Currents,ID 01 Cluster,operational,2025-05-27,Data export to partner integrations,company-own (operational)
Currents,JP 01 Cluster,operational,2026-02-27,Data export to partner integrations,company-own (operational)
Currents,KR 01 Cluster,operational,2026-06-09,Data export to partner integrations,company-own (operational)
Currents,US 04 Cluster,operational,2018-05-03,Data export to partner integrations,company-own (operational)
US 05 Cluster,,operational,2021-04-30,US cluster available at https://dashboard-05.braze.com and https://rest.iad-05.braze.com,company-own (operational)
Cloud Data-Ingestion (CDI),US 01 Cluster,operational,2024-07-03,US01 Cloud Data-Ingestion,company-own (operational)
Cloud Data-Ingestion (CDI),US 02 Cluster,operational,2024-07-03,US02 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),US 03 Cluster,operational,2024-07-03,US03 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),US 05 Cluster,operational,2024-07-03,US05 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),US 06 Cluster,operational,2024-07-03,US06 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),US 07 Cluster,operational,2024-07-03,US07 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),US 08 Cluster,operational,2024-07-03,US08 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),EU 01 Cluster,operational,2024-07-03,EU01 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),EU 02 Cluster,operational,2024-07-03,EU02 Cloud Data-Ingestion (CDI),company-own (operational)
Content Cards,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting Content Cards,company-own (operational)
Cloud Data-Ingestion (CDI),AU 01 Cluster,operational,2025-01-23,AU01 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),US 10 Cluster,operational,2025-05-27,US10 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),ID 01 Cluster,operational,2025-05-27,ID01 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),JP 01 Cluster,operational,2026-02-27,JP01 Cloud Data-Ingestion (CDI),company-own (operational)
Cloud Data-Ingestion (CDI),KR 01 Cluster,operational,2026-06-09,KR01 Cloud Data-Ingestion (CDI),company-own (operational)
US 06 Cluster,,operational,2018-12-05,US cluster available at https://dashboard-06.braze.com and https://rest.iad-06.braze.com,company-own (operational)
Cloud Data-Ingestion (CDI),US 04 Cluster,operational,2024-07-03,US04 Cloud Data-Ingestion (CDI),company-own (operational)
US 07 Cluster,,operational,2023-10-24,US cluster available at https://dashboard-07.braze.com and https://rest.iad-07.braze.com,company-own (operational)
US 08 Cluster,,operational,2019-11-05,US cluster available at https://dashboard-08.braze.com and https://rest.iad-08.braze.com,company-own (operational)
US 10 Cluster,,operational,2025-05-27,US cluster with dashboard available at https://dashboard.us-10.braze.com and REST endpoints at https://rest.us-10.braze.com,company-own (operational)
EU 01 Cluster,,operational,2017-10-03,"EU cluster with dashboard available at https://dashboard-01.braze.eu, and REST endpoints at https://rest.iad-01.braze.eu",company-own (operational)
EU 02 Cluster,,operational,2022-05-26,"EU cluster with dashboard available at https://dashboard-02.braze.eu, and REST endpoints at https://rest.iad-02.braze.eu",company-own (operational)
AU 01 Cluster,,operational,2025-01-23,"AU cluster with dashboard available at https://dashboard.au-01.braze.com, and REST endpoints at https://rest.au-01.braze.com",company-own (operational)
ID 01 Cluster,,operational,2025-05-27,ID cluster with dashboard available at https://dashboard.id-01.braze.com and REST endpoints at https://rest.id-01.braze.com,company-own (operational)
JP 01 Cluster,,operational,2026-02-27,JP cluster with dashboard available at https://dashboard.jp-01.braze.com and REST endpoints at https://rest.jp-01.braze.com,company-own (operational)
KR 01 Cluster,,operational,2026-06-09,JP cluster with dashboard available at dashboard.kr-01.braze.com and REST endpoints at https://rest.kr-01.braze.com,company-own (operational)
