panel,record,chars,rating,segment,complaints,praise,evidence
github_issues,41,1170,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,42,2105,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,43,687,,,bugs / reliability,,third-party (review panel)
github_issues,44,1550,,,bugs / reliability,,third-party (review panel)
github_issues,45,887,,,bugs / reliability,,third-party (review panel)
github_issues,46,1706,,,bugs / reliability,,third-party (review panel)
github_issues,47,693,,,bugs / reliability,,third-party (review panel)
github_issues,48,2085,,,bugs / reliability,AI features,third-party (review panel)
github_issues,49,1120,,,bugs / reliability,,third-party (review panel)
github_issues,50,2070,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,51,1363,,,bugs / reliability,,third-party (review panel)
github_issues,52,1117,,,reporting / export,,third-party (review panel)
github_issues,53,1518,,,feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,54,1499,,,reporting / export|documentation|bugs / reliability,,third-party (review panel)
github_issues,55,967,,,documentation,,third-party (review panel)
github_issues,56,1212,,,implementation|feature gaps,,third-party (review panel)
github_issues,57,2115,,,implementation|reporting / export|speed / performance|bugs / reliability,reliability,third-party (review panel)
github_issues,58,1291,,,bugs / reliability,,third-party (review panel)
github_issues,59,1605,,,implementation|feature gaps,,third-party (review panel)
github_issues,60,599,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,61,1244,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,62,2101,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,63,959,,,templates / editor,,third-party (review panel)
github_issues,64,2125,,,bugs / reliability,,third-party (review panel)
github_issues,65,842,,,implementation,,third-party (review panel)
github_issues,66,1041,,,bugs / reliability,,third-party (review panel)
github_issues,67,534,,,speed / performance,,third-party (review panel)
github_issues,68,2171,,,bugs / reliability,,third-party (review panel)
github_issues,69,2126,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,70,2061,,,implementation|reporting / export|bugs / reliability,,third-party (review panel)
github_issues,71,2102,,,bugs / reliability,analytics,third-party (review panel)
github_issues,72,2111,,,reporting / export|templates / editor|bugs / reliability,reliability,third-party (review panel)
github_issues,73,868,,,speed / performance|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,74,1915,,,implementation|speed / performance|feature gaps,reliability,third-party (review panel)
github_issues,75,1147,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,76,1765,,,bugs / reliability,,third-party (review panel)
github_issues,77,598,,,bugs / reliability,,third-party (review panel)
github_issues,78,2073,,,bugs / reliability,,third-party (review panel)
github_issues,79,584,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,80,2092,,,bugs / reliability,,third-party (review panel)
github_issues,81,2122,,,bugs / reliability,,third-party (review panel)
github_issues,82,558,,,implementation,,third-party (review panel)
github_issues,83,1671,,,,,third-party (review panel)
github_issues,84,651,,,bugs / reliability,,third-party (review panel)
github_issues,85,2157,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,86,259,,,,,third-party (review panel)
github_issues,87,1302,,,bugs / reliability,,third-party (review panel)
github_issues,88,561,,,documentation,,third-party (review panel)
github_issues,89,2110,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,90,1014,,,bugs / reliability,,third-party (review panel)
github_issues,91,871,,,implementation|documentation,,third-party (review panel)
github_issues,92,2090,,,bugs / reliability,reliability,third-party (review panel)
github_issues,93,1883,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,94,671,,,,,third-party (review panel)
github_issues,95,1287,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,96,1689,,,bugs / reliability,,third-party (review panel)
github_issues,97,1915,,,bugs / reliability,,third-party (review panel)
github_issues,98,1098,,,bugs / reliability,,third-party (review panel)
github_issues,99,2080,,,bugs / reliability,,third-party (review panel)
github_issues,100,2082,,,bugs / reliability,,third-party (review panel)
github_issues,101,2100,,,implementation,,third-party (review panel)
github_issues,102,748,,,bugs / reliability,,third-party (review panel)
github_issues,103,1031,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,104,308,,,,,third-party (review panel)
github_issues,105,1647,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,106,826,,,bugs / reliability,,third-party (review panel)
github_issues,107,984,,,bugs / reliability,,third-party (review panel)
github_issues,108,1223,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,109,2103,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,110,1507,,,bugs / reliability,,third-party (review panel)
github_issues,111,1287,,,bugs / reliability,,third-party (review panel)
github_issues,112,2069,,,implementation,,third-party (review panel)
github_issues,113,1872,,,bugs / reliability,,third-party (review panel)
github_issues,114,2112,,,reporting / export|documentation|bugs / reliability,,third-party (review panel)
github_issues,115,234,,,templates / editor,,third-party (review panel)
github_issues,116,495,,,implementation,,third-party (review panel)
github_issues,117,2078,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,118,1976,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,119,1225,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,120,2107,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,121,2073,,,bugs / reliability,,third-party (review panel)
github_issues,122,598,,,bugs / reliability,,third-party (review panel)
github_issues,123,413,,,,,third-party (review panel)
github_issues,124,1107,,,bugs / reliability,,third-party (review panel)
github_issues,125,2117,,,bugs / reliability,analytics,third-party (review panel)
github_issues,126,603,,,bugs / reliability,,third-party (review panel)
github_issues,127,893,,,bugs / reliability,,third-party (review panel)
github_issues,128,1298,,,bugs / reliability,,third-party (review panel)
github_issues,129,2102,,,speed / performance,,third-party (review panel)
github_issues,130,1288,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,131,1241,,,documentation,,third-party (review panel)
github_issues,132,650,,,,,third-party (review panel)
github_issues,133,1759,,,bugs / reliability,,third-party (review panel)
github_issues,134,1089,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,135,2150,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,136,579,,,,,third-party (review panel)
github_issues,137,2065,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,138,2012,,,implementation|feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,139,2066,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,140,2070,,,bugs / reliability,,third-party (review panel)
github_issues,141,2078,,,bugs / reliability,,third-party (review panel)
github_issues,142,426,,,,,third-party (review panel)
github_issues,143,2110,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,144,2066,,,bugs / reliability,,third-party (review panel)
github_issues,145,669,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,146,993,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,147,2069,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,148,683,,,bugs / reliability,,third-party (review panel)
github_issues,149,1018,,,bugs / reliability,,third-party (review panel)
github_issues,150,786,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,151,676,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,152,1274,,,bugs / reliability,,third-party (review panel)
github_issues,153,994,,,bugs / reliability,,third-party (review panel)
github_issues,154,1505,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,155,2111,,,bugs / reliability,,third-party (review panel)
github_issues,156,626,,,templates / editor,,third-party (review panel)
github_issues,157,743,,,templates / editor|bugs / reliability,,third-party (review panel)
github_issues,158,2058,,,bugs / reliability,,third-party (review panel)
github_issues,159,1979,,,feature gaps|documentation,,third-party (review panel)
github_issues,160,1395,,,,,third-party (review panel)
github_issues,161,1571,,,bugs / reliability,,third-party (review panel)
github_issues,162,1086,,,,,third-party (review panel)
github_issues,163,1679,,,bugs / reliability,,third-party (review panel)
github_issues,164,828,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,165,1355,,,implementation|feature gaps|documentation,analytics,third-party (review panel)
github_issues,166,1195,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,167,494,,,,,third-party (review panel)
github_issues,168,631,,,bugs / reliability,,third-party (review panel)
github_issues,169,1022,,,bugs / reliability,,third-party (review panel)
github_issues,170,613,,,,,third-party (review panel)
github_issues,171,493,,,speed / performance,,third-party (review panel)
github_issues,172,1051,,,bugs / reliability,,third-party (review panel)
github_issues,173,786,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,174,1003,,,bugs / reliability,,third-party (review panel)
github_issues,175,1031,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,176,142,,,bugs / reliability,,third-party (review panel)
github_issues,177,349,,,,,third-party (review panel)
github_issues,178,1021,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,179,2062,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,180,2087,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,181,1113,,,bugs / reliability,,third-party (review panel)
github_issues,182,2065,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,183,2129,,,bugs / reliability,,third-party (review panel)
github_issues,184,505,,,,,third-party (review panel)
github_issues,185,750,,,bugs / reliability,,third-party (review panel)
github_issues,186,844,,,feature gaps|documentation,orchestration|personalisation,third-party (review panel)
github_issues,187,2068,,,bugs / reliability,,third-party (review panel)
github_issues,188,416,,,,,third-party (review panel)
github_issues,189,1017,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,190,738,,,bugs / reliability,,third-party (review panel)
github_issues,191,360,,,implementation|documentation,,third-party (review panel)
github_issues,192,412,,,,,third-party (review panel)
github_issues,193,1023,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,194,2078,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,195,677,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,196,1030,,,bugs / reliability,,third-party (review panel)
github_issues,197,1227,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,198,532,,,bugs / reliability,,third-party (review panel)
github_issues,199,1235,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,200,1021,,,bugs / reliability,,third-party (review panel)
github_issues,201,1402,,,bugs / reliability,,third-party (review panel)
github_issues,202,770,,,feature gaps,,third-party (review panel)
github_issues,203,2122,,,documentation|bugs / reliability,personalisation|analytics,third-party (review panel)
github_issues,204,2086,,,implementation|speed / performance|bugs / reliability,,third-party (review panel)
github_issues,205,2123,,,documentation|bugs / reliability,personalisation|analytics,third-party (review panel)
github_issues,206,1046,,,feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,207,743,,,,,third-party (review panel)
github_issues,208,1150,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,209,2104,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,210,348,,,documentation,,third-party (review panel)
github_issues,211,401,,,,,third-party (review panel)
github_issues,212,1661,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,213,642,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,214,1400,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,215,2184,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,216,986,,,bugs / reliability,,third-party (review panel)
github_issues,217,392,,,bugs / reliability,,third-party (review panel)
github_issues,218,1804,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,219,939,,,bugs / reliability,,third-party (review panel)
github_issues,220,2084,,,bugs / reliability,,third-party (review panel)
github_issues,221,2163,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,222,1457,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,223,1857,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,224,1346,,,bugs / reliability,,third-party (review panel)
github_issues,225,573,,,bugs / reliability,,third-party (review panel)
github_issues,226,422,,,,,third-party (review panel)
github_issues,227,357,,,,,third-party (review panel)
github_issues,228,1665,,,bugs / reliability,,third-party (review panel)
github_issues,229,943,,,bugs / reliability,,third-party (review panel)
github_issues,230,517,,,,,third-party (review panel)
github_issues,231,1142,,,implementation|documentation,analytics,third-party (review panel)
github_issues,232,993,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,233,2108,,,bugs / reliability,,third-party (review panel)
github_issues,234,2114,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,235,2109,,,implementation|reporting / export|bugs / reliability,,third-party (review panel)
github_issues,236,1841,,,,ease of use,third-party (review panel)
github_issues,237,467,,,bugs / reliability,,third-party (review panel)
github_issues,238,2232,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,239,662,,,bugs / reliability,,third-party (review panel)
github_issues,240,1598,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,241,1096,,,bugs / reliability,,third-party (review panel)
github_issues,242,2117,,,,reliability,third-party (review panel)
github_issues,243,783,,,reporting / export|documentation|bugs / reliability,,third-party (review panel)
github_issues,244,2109,,,bugs / reliability,analytics,third-party (review panel)
github_issues,245,478,,,implementation,reliability,third-party (review panel)
github_issues,246,1935,,,bugs / reliability,,third-party (review panel)
github_issues,247,404,,,,,third-party (review panel)
github_issues,248,456,,,,,third-party (review panel)
github_issues,249,746,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,250,1566,,,bugs / reliability,,third-party (review panel)
github_issues,251,790,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,252,1182,,,feature gaps|documentation,,third-party (review panel)
github_issues,253,1599,,,bugs / reliability,,third-party (review panel)
github_issues,254,1538,,,bugs / reliability,,third-party (review panel)
github_issues,255,845,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,256,1327,,,reporting / export|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,257,2097,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,258,2144,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,259,1256,,,bugs / reliability,AI features,third-party (review panel)
github_issues,260,1600,,,bugs / reliability,AI features,third-party (review panel)
github_issues,261,446,,,,,third-party (review panel)
github_issues,262,1069,,,reporting / export|documentation,,third-party (review panel)
github_issues,263,1380,,,bugs / reliability,,third-party (review panel)
github_issues,264,837,,,,,third-party (review panel)
github_issues,265,698,,,documentation,,third-party (review panel)
github_issues,266,2109,,,speed / performance,,third-party (review panel)
github_issues,267,488,,,,,third-party (review panel)
github_issues,268,1388,,,bugs / reliability,,third-party (review panel)
github_issues,269,2087,,,implementation|speed / performance|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,270,919,,,bugs / reliability,analytics,third-party (review panel)
github_issues,271,1446,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,272,1801,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,273,1075,,,bugs / reliability,,third-party (review panel)
github_issues,274,1088,,,bugs / reliability,,third-party (review panel)
github_issues,275,1095,,,bugs / reliability,,third-party (review panel)
github_issues,276,2096,,,bugs / reliability,,third-party (review panel)
github_issues,277,1666,,,bugs / reliability,,third-party (review panel)
github_issues,278,2121,,,,,third-party (review panel)
github_issues,279,1911,,,implementation|reporting / export|feature gaps,reliability,third-party (review panel)
github_issues,280,2063,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,281,947,,,,,third-party (review panel)
github_issues,282,725,,,feature gaps,,third-party (review panel)
github_issues,283,2116,,,bugs / reliability,,third-party (review panel)
github_issues,284,619,,,bugs / reliability,,third-party (review panel)
github_issues,285,481,,,,,third-party (review panel)
github_issues,286,508,,,,,third-party (review panel)
github_issues,287,2097,,,bugs / reliability,,third-party (review panel)
github_issues,288,2001,,,,,third-party (review panel)
github_issues,289,2103,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,290,2068,,,bugs / reliability,,third-party (review panel)
github_issues,291,2120,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,292,1250,,,feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,293,618,,,bugs / reliability,,third-party (review panel)
github_issues,294,2099,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,295,2084,,,bugs / reliability,,third-party (review panel)
github_issues,296,2156,,,bugs / reliability,,third-party (review panel)
github_issues,297,1110,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,298,2078,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,299,1217,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,300,2101,,,bugs / reliability,,third-party (review panel)
github_issues,301,1413,,,speed / performance|documentation|bugs / reliability,,third-party (review panel)
github_issues,302,2138,,,bugs / reliability,analytics,third-party (review panel)
github_issues,303,2120,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,304,738,,,reporting / export|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,305,608,,,documentation,,third-party (review panel)
github_issues,306,940,,,documentation,,third-party (review panel)
github_issues,307,1501,,,reporting / export|bugs / reliability,reliability,third-party (review panel)
github_issues,308,1689,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,309,1258,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,310,2126,,,bugs / reliability,,third-party (review panel)
github_issues,311,2114,,,feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,312,603,,,feature gaps,,third-party (review panel)
github_issues,313,2111,,,bugs / reliability,,third-party (review panel)
github_issues,314,2067,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,315,2059,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,316,1874,,,bugs / reliability,,third-party (review panel)
github_issues,317,1170,,,bugs / reliability,,third-party (review panel)
github_issues,318,1408,,,bugs / reliability,,third-party (review panel)
github_issues,319,1453,,,bugs / reliability,,third-party (review panel)
github_issues,320,2083,,,reporting / export,,third-party (review panel)
github_issues,321,950,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,322,1938,,,reporting / export|documentation,AI features,third-party (review panel)
github_issues,323,1619,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,324,1920,,,reporting / export|feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,325,1778,,,,orchestration,third-party (review panel)
github_issues,326,1341,,,bugs / reliability,,third-party (review panel)
github_issues,327,1503,,,bugs / reliability,,third-party (review panel)
github_issues,328,1028,,,bugs / reliability,analytics,third-party (review panel)
github_issues,329,1361,,,bugs / reliability,,third-party (review panel)
github_issues,330,760,,,,,third-party (review panel)
github_issues,331,1831,,,reporting / export|templates / editor|bugs / reliability,,third-party (review panel)
github_issues,332,1230,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,333,1919,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,334,2129,,,implementation|documentation|bugs / reliability,reliability,third-party (review panel)
github_issues,335,2119,,,bugs / reliability,,third-party (review panel)
github_issues,336,1634,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,337,690,,,bugs / reliability,,third-party (review panel)
github_issues,338,1500,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,339,1516,,,bugs / reliability,,third-party (review panel)
github_issues,340,2130,,,bugs / reliability,,third-party (review panel)
github_issues,341,557,,,bugs / reliability,,third-party (review panel)
github_issues,342,1237,,,feature gaps,,third-party (review panel)
github_issues,343,1278,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,344,1258,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,345,1175,,,bugs / reliability,,third-party (review panel)
github_issues,346,1113,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,347,780,,,bugs / reliability,,third-party (review panel)
github_issues,348,1328,,,bugs / reliability,analytics,third-party (review panel)
github_issues,349,400,,,,,third-party (review panel)
github_issues,350,2079,,,bugs / reliability,analytics,third-party (review panel)
github_issues,351,2112,,,bugs / reliability,,third-party (review panel)
github_issues,352,899,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,353,1719,,,bugs / reliability,,third-party (review panel)
github_issues,354,944,,,bugs / reliability,,third-party (review panel)
github_issues,355,2054,,,,analytics,third-party (review panel)
github_issues,356,2083,,,reporting / export|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,357,715,,,documentation,,third-party (review panel)
github_issues,358,1838,,,reporting / export,,third-party (review panel)
github_issues,359,994,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,360,968,,,feature gaps|documentation|bugs / reliability,,third-party (review panel)
github_issues,361,230,,,documentation,,third-party (review panel)
github_issues,362,222,,,documentation,,third-party (review panel)
github_issues,363,2090,,,bugs / reliability,,third-party (review panel)
github_issues,364,872,,,,,third-party (review panel)
github_issues,365,1049,,,implementation,,third-party (review panel)
github_issues,366,883,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,367,2096,,,bugs / reliability,,third-party (review panel)
github_issues,368,762,,,documentation,,third-party (review panel)
github_issues,369,2106,,,bugs / reliability,,third-party (review panel)
github_issues,370,2069,,,bugs / reliability,,third-party (review panel)
github_issues,371,623,,,,,third-party (review panel)
github_issues,372,539,,,feature gaps,,third-party (review panel)
github_issues,373,750,,,implementation|documentation,,third-party (review panel)
github_issues,374,1484,,,implementation|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,375,565,,,bugs / reliability,,third-party (review panel)
github_issues,376,831,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,377,2096,,,bugs / reliability,,third-party (review panel)
github_issues,378,954,,,bugs / reliability,,third-party (review panel)
github_issues,379,1506,,,bugs / reliability,,third-party (review panel)
github_issues,380,2123,,,bugs / reliability,,third-party (review panel)
github_issues,381,1257,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,382,1048,,,,,third-party (review panel)
github_issues,383,792,,,,,third-party (review panel)
github_issues,384,988,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,385,773,,,speed / performance,,third-party (review panel)
github_issues,386,2030,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,387,1877,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,388,2093,,,bugs / reliability,,third-party (review panel)
github_issues,389,2081,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,390,901,,,bugs / reliability,,third-party (review panel)
github_issues,391,2089,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,392,2120,,,implementation|reporting / export|bugs / reliability,analytics,third-party (review panel)
github_issues,393,1623,,,bugs / reliability,,third-party (review panel)
github_issues,394,2134,,,bugs / reliability,,third-party (review panel)
github_issues,395,2058,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,396,1080,,,,,third-party (review panel)
github_issues,397,915,,,,,third-party (review panel)
github_issues,398,255,,,,,third-party (review panel)
github_issues,399,1382,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,400,1110,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,401,835,,,bugs / reliability,,third-party (review panel)
github_issues,402,2127,,,reporting / export|speed / performance|feature gaps|bugs / reliability,,third-party (review panel)
github_issues,403,760,,,implementation|feature gaps,,third-party (review panel)
github_issues,404,1082,,,documentation,,third-party (review panel)
github_issues,405,2060,,,bugs / reliability,,third-party (review panel)
github_issues,406,1206,,,bugs / reliability,,third-party (review panel)
github_issues,407,2012,,,bugs / reliability,,third-party (review panel)
github_issues,408,1009,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,409,2103,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,410,2061,,,bugs / reliability,,third-party (review panel)
github_issues,411,1237,,,feature gaps|documentation,,third-party (review panel)
github_issues,412,1031,,,bugs / reliability,,third-party (review panel)
github_issues,413,1239,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,414,2097,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,415,1932,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,416,1177,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,417,235,,,implementation|feature gaps,,third-party (review panel)
github_issues,418,2095,,,implementation|documentation,,third-party (review panel)
github_issues,419,1136,,,reporting / export|documentation,,third-party (review panel)
github_issues,420,1416,,,implementation|documentation|bugs / reliability,,third-party (review panel)
github_issues,421,1432,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,422,1778,,,bugs / reliability,,third-party (review panel)
github_issues,423,1096,,,implementation|documentation,analytics,third-party (review panel)
github_issues,424,2089,,,implementation|feature gaps|documentation|bugs / reliability,analytics,third-party (review panel)
github_issues,425,895,,,implementation|documentation,,third-party (review panel)
github_issues,426,1514,,,bugs / reliability,,third-party (review panel)
github_issues,427,1204,,,bugs / reliability,,third-party (review panel)
github_issues,428,558,,,bugs / reliability,,third-party (review panel)
github_issues,429,721,,,,,third-party (review panel)
github_issues,430,2081,,,implementation|documentation,,third-party (review panel)
github_issues,431,1169,,,bugs / reliability,,third-party (review panel)
github_issues,432,1118,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,433,1140,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,434,860,,,,,third-party (review panel)
