form,filed,period,accession,primary_doc,description,items,url,evidence
4,2025-05-21,2025-05-19,0001676238-25-000076,xslF345X05/wk-form4_1747866765.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000076/xslF345X05/wk-form4_1747866765.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000074,xslF345X05/wk-form4_1747866640.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000074/xslF345X05/wk-form4_1747866640.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000072,xslF345X05/wk-form4_1747866491.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000072/xslF345X05/wk-form4_1747866491.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000070,xslF345X05/wk-form4_1747866347.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000070/xslF345X05/wk-form4_1747866347.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000068,xslF345X05/wk-form4_1747866147.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000068/xslF345X05/wk-form4_1747866147.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000065,xslF345X05/wk-form4_1747865455.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000065/xslF345X05/wk-form4_1747865455.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000063,xslF345X05/wk-form4_1747865238.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000063/xslF345X05/wk-form4_1747865238.xml,statutory (SEC EDGAR)
4,2025-05-21,2025-05-19,0001676238-25-000061,xslF345X05/wk-form4_1747865082.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000061/xslF345X05/wk-form4_1747865082.xml,statutory (SEC EDGAR)
ARS,2025-05-15,2025-01-31,0001140361-25-019273,ny20045978x3_ars.pdf,ARS,,https://www.sec.gov/Archives/edgar/data/1676238/000114036125019273/ny20045978x3_ars.pdf,statutory (SEC EDGAR)
DEFA14A,2025-05-15,,0001140361-25-019272,ny20045978x2_defa14a.htm,DEFA14A,,https://www.sec.gov/Archives/edgar/data/1676238/000114036125019272/ny20045978x2_defa14a.htm,statutory (SEC EDGAR)
DEF 14A,2025-05-15,2025-06-26,0001140361-25-019268,ny20045978x1_def14a.htm,DEF 14A,,https://www.sec.gov/Archives/edgar/data/1676238/000114036125019268/ny20045978x1_def14a.htm,statutory (SEC EDGAR)
SCHEDULE 13G,2025-05-15,,0001011438-25-000313,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000101143825000313/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-04-17,,0001576419-25-000851,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000157641925000851/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-04-16,2025-04-14,0001415889-25-010800,xslF345X05/form4-04162025_040403.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925010800/xslF345X05/form4-04162025_040403.xml,statutory (SEC EDGAR)
4,2025-04-14,2025-04-01,0001415889-25-010654,xslF345X05/form4-04142025_110426.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925010654/xslF345X05/form4-04142025_110426.xml,statutory (SEC EDGAR)
4,2025-04-14,2025-04-01,0001415889-25-010652,xslF345X05/form4-04142025_110403.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925010652/xslF345X05/form4-04142025_110403.xml,statutory (SEC EDGAR)
4,2025-04-14,2024-04-09,0001415889-25-010638,xslF345X05/form4-04142025_100422.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925010638/xslF345X05/form4-04142025_100422.xml,statutory (SEC EDGAR)
4,2025-04-14,2025-04-01,0001415889-25-010636,xslF345X05/form4-04142025_100402.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925010636/xslF345X05/form4-04142025_100402.xml,statutory (SEC EDGAR)
4,2025-04-10,2025-04-08,0001415889-25-010538,xslF345X05/form4-04102025_040404.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925010538/xslF345X05/form4-04102025_040404.xml,statutory (SEC EDGAR)
D,2025-04-10,,0000950103-25-004677,xslFormDX01/primary_doc.xml,,06b,https://www.sec.gov/Archives/edgar/data/1676238/000095010325004677/xslFormDX01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-04-08,2025-04-04,0001676238-25-000058,xslF345X05/wk-form4_1744156111.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000058/xslF345X05/wk-form4_1744156111.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-04-07,,0000932471-25-000399,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000093247125000399/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
144,2025-04-04,,0001972362-25-000343,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000197236225000343/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-04-01,2025-03-28,0001676238-25-000056,xslF345X05/wk-form4_1743538796.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000056/xslF345X05/wk-form4_1743538796.xml,statutory (SEC EDGAR)
S-8,2025-03-31,,0000950103-25-004123,dp226839_s8.htm,FORM S-8,,https://www.sec.gov/Archives/edgar/data/1676238/000095010325004123/dp226839_s8.htm,statutory (SEC EDGAR)
10-K,2025-03-31,2025-01-31,0001676238-25-000054,brze-20250131.htm,10-K,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000054/brze-20250131.htm,statutory (SEC EDGAR)
144,2025-03-28,,0001950047-25-002230,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725002230/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
8-K,2025-03-27,2025-03-26,0001676238-25-000051,brz-20250326.htm,8-K,"2.02,3.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623825000051/brz-20250326.htm,statutory (SEC EDGAR)
3,2025-03-21,2025-03-11,0000950103-25-003724,xslF345X02/dp226583_3-amalik.xml,FORM 3,,https://www.sec.gov/Archives/edgar/data/1676238/000095010325003724/xslF345X02/dp226583_3-amalik.xml,statutory (SEC EDGAR)
4,2025-03-12,2025-03-10,0001676238-25-000043,xslF345X05/wk-form4_1741823307.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000043/xslF345X05/wk-form4_1741823307.xml,statutory (SEC EDGAR)
4,2025-03-12,2025-03-10,0001676238-25-000041,xslF345X05/wk-form4_1741823092.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000041/xslF345X05/wk-form4_1741823092.xml,statutory (SEC EDGAR)
4,2025-03-12,2025-03-10,0001676238-25-000039,xslF345X05/wk-form4_1741822957.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000039/xslF345X05/wk-form4_1741822957.xml,statutory (SEC EDGAR)
4,2025-03-12,2025-03-10,0001676238-25-000037,xslF345X05/wk-form4_1741822849.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000037/xslF345X05/wk-form4_1741822849.xml,statutory (SEC EDGAR)
4,2025-03-12,2025-03-10,0001676238-25-000035,xslF345X05/wk-form4_1741822564.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000035/xslF345X05/wk-form4_1741822564.xml,statutory (SEC EDGAR)
4,2025-03-05,2025-03-03,0001676238-25-000033,xslF345X05/wk-form4_1741220749.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000033/xslF345X05/wk-form4_1741220749.xml,statutory (SEC EDGAR)
4,2025-02-26,2025-02-24,0001676238-25-000031,xslF345X05/wk-form4_1740614877.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000031/xslF345X05/wk-form4_1740614877.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000029,xslF345X05/wk-form4_1740097991.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000029/xslF345X05/wk-form4_1740097991.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000027,xslF345X05/wk-form4_1740097841.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000027/xslF345X05/wk-form4_1740097841.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000025,xslF345X05/wk-form4_1740097627.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000025/xslF345X05/wk-form4_1740097627.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000023,xslF345X05/wk-form4_1740097480.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000023/xslF345X05/wk-form4_1740097480.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000021,xslF345X05/wk-form4_1740097269.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000021/xslF345X05/wk-form4_1740097269.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000019,xslF345X05/wk-form4_1740096994.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000019/xslF345X05/wk-form4_1740096994.xml,statutory (SEC EDGAR)
4,2025-02-20,2025-02-18,0001676238-25-000017,xslF345X05/wk-form4_1740096751.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000017/xslF345X05/wk-form4_1740096751.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-02-14,,0001415889-25-004185,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925004185/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-02-14,,0000950170-25-021028,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000095017025021028/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-02-13,,0001062993-25-002351,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000106299325002351/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-02-13,,0001011438-25-000125,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000101143825000125/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
5,2025-02-13,2024-12-31,0001894090-25-000001,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT,,https://www.sec.gov/Archives/edgar/data/1676238/000189409025000001/xslF345X05/primary_doc.xml,statutory (SEC EDGAR)
8-K,2025-02-03,2025-02-01,0001676238-25-000015,brz-20250201.htm,8-K,"2.02,5.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623825000015/brz-20250201.htm,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-01-31,,0000932471-25-000301,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000093247125000301/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-01-29,2025-01-27,0001676238-25-000011,xslF345X05/wk-form4_1738196065.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000011/xslF345X05/wk-form4_1738196065.xml,statutory (SEC EDGAR)
4,2025-01-24,2024-01-12,0001415889-25-002025,xslF345X05/form4-01242025_040106.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925002025/xslF345X05/form4-01242025_040106.xml,statutory (SEC EDGAR)
4,2025-01-17,2025-01-15,0001676238-25-000009,xslF345X05/wk-form4_1737154129.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000009/xslF345X05/wk-form4_1737154129.xml,statutory (SEC EDGAR)
4,2025-01-08,2025-01-06,0001676238-25-000007,xslF345X05/wk-form4_1736371729.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000007/xslF345X05/wk-form4_1736371729.xml,statutory (SEC EDGAR)
4,2025-01-08,2025-01-06,0001676238-25-000006,xslF345X05/wk-form4_1736371683.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000006/xslF345X05/wk-form4_1736371683.xml,statutory (SEC EDGAR)
4,2025-01-08,2025-01-06,0001676238-25-000005,xslF345X05/wk-form4_1736371648.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000005/xslF345X05/wk-form4_1736371648.xml,statutory (SEC EDGAR)
144,2025-01-06,,0001972362-25-000008,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000197236225000008/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2025-01-06,,0001950047-25-000136,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725000136/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2025-01-06,,0001950047-25-000133,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725000133/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-12-20,2024-12-18,0001676238-24-000220,xslF345X05/wk-form4_1734735539.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000220/xslF345X05/wk-form4_1734735539.xml,statutory (SEC EDGAR)
4,2024-12-20,2024-12-18,0001676238-24-000218,xslF345X05/wk-form4_1734735228.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000218/xslF345X05/wk-form4_1734735228.xml,statutory (SEC EDGAR)
4,2024-12-18,2024-12-16,0001676238-24-000216,xslF345X05/wk-form4_1734566768.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000216/xslF345X05/wk-form4_1734566768.xml,statutory (SEC EDGAR)
4,2024-12-18,2024-12-16,0001676238-24-000214,xslF345X05/wk-form4_1734566548.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000214/xslF345X05/wk-form4_1734566548.xml,statutory (SEC EDGAR)
4,2024-12-17,2024-12-13,0001676238-24-000212,xslF345X05/wk-form4_1734476357.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000212/xslF345X05/wk-form4_1734476357.xml,statutory (SEC EDGAR)
4,2024-12-17,2024-12-13,0001676238-24-000210,xslF345X05/wk-form4_1734476120.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000210/xslF345X05/wk-form4_1734476120.xml,statutory (SEC EDGAR)
144,2024-12-16,,0001972362-24-001883,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000197236224001883/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-12-16,,0001950047-24-009857,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724009857/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-12-16,,0001950047-24-009854,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724009854/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-12-13,,0001950047-24-009797,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724009797/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-12-13,,0001972362-24-001872,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000197236224001872/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
10-Q,2024-12-10,2024-10-31,0001676238-24-000208,brze-20241031.htm,10-Q,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000208/brze-20241031.htm,statutory (SEC EDGAR)
8-K,2024-12-09,2024-12-09,0001676238-24-000206,brz-20241209.htm,8-K,"2.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623824000206/brz-20241209.htm,statutory (SEC EDGAR)
4,2024-12-04,2024-12-02,0001676238-24-000200,xslF345X05/wk-form4_1733353295.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000200/xslF345X05/wk-form4_1733353295.xml,statutory (SEC EDGAR)
4,2024-11-20,2024-11-18,0001676238-24-000198,xslF345X05/wk-form4_1732147372.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000198/xslF345X05/wk-form4_1732147372.xml,statutory (SEC EDGAR)
4,2024-11-20,2024-11-18,0001676238-24-000196,xslF345X05/wk-form4_1732147140.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000196/xslF345X05/wk-form4_1732147140.xml,statutory (SEC EDGAR)
4,2024-11-20,2024-11-18,0001676238-24-000194,xslF345X05/wk-form4_1732146964.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000194/xslF345X05/wk-form4_1732146964.xml,statutory (SEC EDGAR)
4,2024-11-20,2024-11-18,0001676238-24-000192,xslF345X05/wk-form4_1732146847.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000192/xslF345X05/wk-form4_1732146847.xml,statutory (SEC EDGAR)
4,2024-11-20,2024-11-18,0001676238-24-000190,xslF345X05/wk-form4_1732146429.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000190/xslF345X05/wk-form4_1732146429.xml,statutory (SEC EDGAR)
4,2024-11-20,2024-11-18,0001676238-24-000188,xslF345X05/wk-form4_1732146293.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000188/xslF345X05/wk-form4_1732146293.xml,statutory (SEC EDGAR)
144,2024-11-20,,0001950047-24-008866,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724008866/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-11-20,,0001950047-24-008865,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724008865/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
UPLOAD,2024-11-18,,0000000000-24-012697,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1676238/000000000024012697/filename1.pdf,statutory (SEC EDGAR)
SC 13G/A,2024-11-14,,0001193125-24-258729,d873217dsc13ga.htm,SC 13G/A,,https://www.sec.gov/Archives/edgar/data/1676238/000119312524258729/d873217dsc13ga.htm,statutory (SEC EDGAR)
4,2024-11-14,2024-11-13,0001894090-24-000001,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT,,https://www.sec.gov/Archives/edgar/data/1676238/000189409024000001/xslF345X05/primary_doc.xml,statutory (SEC EDGAR)
SC 13G,2024-11-13,,0001011438-24-000636,form_sc13g-braze.htm,,,https://www.sec.gov/Archives/edgar/data/1676238/000101143824000636/form_sc13g-braze.htm,statutory (SEC EDGAR)
SC 13G/A,2024-11-08,,0002012383-24-004191,us10576n1028_110824.txt,,,https://www.sec.gov/Archives/edgar/data/1676238/000201238324004191/us10576n1028_110824.txt,statutory (SEC EDGAR)
CORRESP,2024-11-08,,0000950103-24-016139,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1676238/000095010324016139/filename1.htm,statutory (SEC EDGAR)
SC 13G/A,2024-11-07,,0000895421-24-000564,BrazeIncBRZE.txt,MS AMENDMENT,,https://www.sec.gov/Archives/edgar/data/1676238/000089542124000564/BrazeIncBRZE.txt,statutory (SEC EDGAR)
UPLOAD,2024-11-06,,0000000000-24-012329,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1676238/000000000024012329/filename1.pdf,statutory (SEC EDGAR)
4,2024-11-05,2024-11-01,0001676238-24-000186,xslF345X05/wk-form4_1730843611.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000186/xslF345X05/wk-form4_1730843611.xml,statutory (SEC EDGAR)
SC 13G/A,2024-10-22,,0002012383-24-001276,us10576n1028_102224.txt,,,https://www.sec.gov/Archives/edgar/data/1676238/000201238324001276/us10576n1028_102224.txt,statutory (SEC EDGAR)
4,2024-10-17,2024-10-15,0001415889-24-025371,xslF345X05/form4-10172024_081038.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588924025371/xslF345X05/form4-10172024_081038.xml,statutory (SEC EDGAR)
4,2024-10-16,2024-10-11,0001415889-24-025179,xslF345X05/form4-10162024_041003.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588924025179/xslF345X05/form4-10162024_041003.xml,statutory (SEC EDGAR)
4,2024-10-09,2024-10-07,0001676238-24-000184,xslF345X05/wk-form4_1728508849.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000184/xslF345X05/wk-form4_1728508849.xml,statutory (SEC EDGAR)
144,2024-10-07,,0001972362-24-001396,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000197236224001396/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-10-04,2024-10-02,0001415889-24-024754,xslF345X05/form4-10042024_041001.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588924024754/xslF345X05/form4-10042024_041001.xml,statutory (SEC EDGAR)
4,2024-10-03,2024-10-01,0001676238-24-000181,xslF345X05/wk-form4_1727995193.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000181/xslF345X05/wk-form4_1727995193.xml,statutory (SEC EDGAR)
144,2024-10-01,,0001950047-24-007523,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724007523/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-09-11,2024-09-09,0000950170-24-105613,xslF345X05/ownership.xml,4,,https://www.sec.gov/Archives/edgar/data/1676238/000095017024105613/xslF345X05/ownership.xml,statutory (SEC EDGAR)
4,2024-09-10,2024-09-06,0001676238-24-000179,xslF345X05/wk-form4_1726008255.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000179/xslF345X05/wk-form4_1726008255.xml,statutory (SEC EDGAR)
4,2024-09-09,2024-09-05,0001676238-24-000177,xslF345X05/wk-form4_1725918079.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000177/xslF345X05/wk-form4_1725918079.xml,statutory (SEC EDGAR)
10-Q,2024-09-06,2024-07-31,0001676238-24-000171,brze-20240731.htm,10-Q,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000171/brze-20240731.htm,statutory (SEC EDGAR)
4,2024-09-05,2024-09-03,0001676238-24-000175,xslF345X05/wk-form4_1725574356.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000175/xslF345X05/wk-form4_1725574356.xml,statutory (SEC EDGAR)
4,2024-09-05,2024-09-03,0001676238-24-000173,xslF345X05/wk-form4_1725574107.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000173/xslF345X05/wk-form4_1725574107.xml,statutory (SEC EDGAR)
8-K,2024-09-05,2024-09-05,0001676238-24-000169,brz-20240905.htm,8-K,"2.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623824000169/brz-20240905.htm,statutory (SEC EDGAR)
144,2024-09-03,,0001950047-24-006708,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724006708/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-08-28,2024-08-26,0001676238-24-000163,xslF345X05/wk-form4_1724878176.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000163/xslF345X05/wk-form4_1724878176.xml,statutory (SEC EDGAR)
4,2024-08-28,2024-08-26,0001676238-24-000161,xslF345X05/wk-form4_1724878062.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000161/xslF345X05/wk-form4_1724878062.xml,statutory (SEC EDGAR)
144,2024-08-26,,0001950047-24-006498,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724006498/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-08-20,2024-08-16,0001676238-24-000159,xslF345X05/wk-form4_1724190540.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000159/xslF345X05/wk-form4_1724190540.xml,statutory (SEC EDGAR)
4,2024-08-20,2024-08-16,0001676238-24-000157,xslF345X05/wk-form4_1724190395.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000157/xslF345X05/wk-form4_1724190395.xml,statutory (SEC EDGAR)
4,2024-08-20,2024-08-16,0001676238-24-000155,xslF345X05/wk-form4_1724190179.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000155/xslF345X05/wk-form4_1724190179.xml,statutory (SEC EDGAR)
4,2024-08-20,2024-08-16,0001676238-24-000153,xslF345X05/wk-form4_1724189981.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000153/xslF345X05/wk-form4_1724189981.xml,statutory (SEC EDGAR)
4,2024-08-20,2024-08-16,0001676238-24-000151,xslF345X05/wk-form4_1724189726.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000151/xslF345X05/wk-form4_1724189726.xml,statutory (SEC EDGAR)
4,2024-08-20,2024-08-16,0001676238-24-000149,xslF345X05/wk-form4_1724189587.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000149/xslF345X05/wk-form4_1724189587.xml,statutory (SEC EDGAR)
144,2024-08-20,,0001950047-24-006275,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724006275/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-08-20,,0001950047-24-006273,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724006273/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2024-08-20,,0001950047-24-006272,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724006272/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-08-05,2024-08-01,0001676238-24-000147,xslF345X05/wk-form4_1722893384.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000147/xslF345X05/wk-form4_1722893384.xml,statutory (SEC EDGAR)
4,2024-08-05,2024-08-01,0001676238-24-000145,xslF345X05/wk-form4_1722893114.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000145/xslF345X05/wk-form4_1722893114.xml,statutory (SEC EDGAR)
144,2024-08-01,,0001950047-24-005750,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004724005750/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2024-07-31,2024-07-29,0001676238-24-000143,xslF345X05/wk-form4_1722461028.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000143/xslF345X05/wk-form4_1722461028.xml,statutory (SEC EDGAR)
4,2024-07-29,2024-07-25,0001676238-24-000141,xslF345X05/wk-form4_1722291332.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623824000141/xslF345X05/wk-form4_1722291332.xml,statutory (SEC EDGAR)
